state_id,policy_id,n_evac_vehicles,n_evac_arrived,arrival_rate,tt_mean,tt_median,tt_p90,tt_max,tt_min,depart_mean,arrive_mean,arrive_p90,links_mean,links_p90,maxseq_mean,maxseq_p90,src_file
5,22,7000.0,1279.0,0.18271428571428572,1898.4902267396403,1933.0,2799.8,4496.0,109.0,47062.84753713839,48961.33776387803,50109.2,20.333072713057074,32.0,19.374511336982017,31.0,evac-only_sorted_2026shelterseek_5_22_trajectory.csv
5,23,7000.0,1489.0,0.21271428571428572,1864.8616521155138,1782.0,2734.4,5625.0,86.0,47101.50772330423,48966.369375419745,50113.2,18.370718603089323,30.0,17.415043653458696,29.0,evac-only_sorted_2026shelterseek_5_23_trajectory.csv
5,24,7000.0,1213.0,0.1732857142857143,1914.765045342127,1830.0,2922.6,5069.0,79.0,46979.80379225062,48894.56883759274,50051.4,21.318219291014014,45.0,20.420445177246496,44.0,evac-only_sorted_2026shelterseek_5_24_trajectory.csv
5,25,7000.0,1340.0,0.19142857142857142,1807.6179104477612,1766.0,2745.2000000000003,5809.0,50.0,47123.80671641791,48931.42462686567,50015.0,21.777611940298506,34.0,20.93059701492537,33.0,evac-only_sorted_2026shelterseek_5_25_trajectory.csv
5,26,7000.0,1554.0,0.222,2023.0778635778636,2178.5,2879.9000000000005,3782.0,48.0,47091.32368082368,49114.401544401546,50174.7,22.044401544401545,29.0,21.12162162162162,28.0,evac-only_sorted_2026shelterseek_5_26_trajectory.csv
5,27,7000.0,1051.0,0.15014285714285713,2215.137963843958,2300.0,3073.0,4431.0,90.0,46977.69077069458,49192.82873453853,50164.0,22.284490960989533,34.0,21.51569933396765,34.0,evac-only_sorted_2026shelterseek_5_27_trajectory.csv
5,28,7000.0,1997.0,0.2852857142857143,1868.7230846269404,1864.0,2825.0,4059.0,122.0,47090.30746119179,48959.03054581873,50136.2,17.940410615923884,35.0,17.093640460691038,34.0,evac-only_sorted_2026shelterseek_5_28_trajectory.csv
5,29,7000.0,1094.0,0.15628571428571428,1830.0859232175503,1824.5,2817.7000000000007,4830.0,59.0,46990.21480804388,48820.30073126143,50072.4,24.814442413162705,39.0,24.39762340036563,38.0,evac-only_sorted_2026shelterseek_5_29_trajectory.csv
5,30,7000.0,1319.0,0.18842857142857142,1737.3411675511752,1547.0,2642.2,4223.0,66.0,47142.754359363156,48880.09552691433,50018.4,21.11144806671721,36.0,20.36391205458681,36.0,evac-only_sorted_2026shelterseek_5_30_trajectory.csv
5,31,7000.0,1308.0,0.18685714285714286,1935.368501529052,1863.0,2961.3,4817.0,67.0,47048.95489296636,48984.32339449541,50128.0,25.66360856269113,37.0,24.714831804281346,36.0,evac-only_sorted_2026shelterseek_5_31_trajectory.csv
5,32,7000.0,1430.0,0.2042857142857143,1711.753846153846,1721.0,2692.500000000002,5070.0,17.0,47112.53076923077,48824.28461538462,49822.1,23.517482517482517,31.0,22.611888111888113,30.0,evac-only_sorted_2026shelterseek_5_32_trajectory.csv
5,33,7000.0,1323.0,0.189,1873.8125472411186,1852.0,2917.6,6945.0,91.0,47050.930461073316,48924.743008314435,50099.8,22.636432350718064,35.59999999999991,21.73015873015873,34.59999999999991,evac-only_sorted_2026shelterseek_5_33_trajectory.csv
5,34,7000.0,1397.0,0.19957142857142857,1866.2984967788118,1892.0,2915.4000000000005,4806.0,23.0,47033.19756621331,48899.496062992126,50079.0,23.730136005726557,47.0,22.777380100214746,46.0,evac-only_sorted_2026shelterseek_5_34_trajectory.csv
5,35,7000.0,994.0,0.142,1954.4124748490947,1950.0,2810.4,5462.0,70.0,47149.93259557344,49104.34507042253,50041.7,18.763581488933603,33.0,17.929577464788732,32.0,evac-only_sorted_2026shelterseek_5_35_trajectory.csv
5,36,7000.0,1228.0,0.17542857142857143,1772.4258957654722,1722.0,2850.6,4922.0,55.0,47042.60749185668,48815.03338762215,50129.0,21.30211726384365,44.0,20.33631921824104,43.0,evac-only_sorted_2026shelterseek_5_36_trajectory.csv
5,37,7000.0,1300.0,0.18571428571428572,1917.3623076923077,1966.5,2819.400000000002,3721.0,61.0,47071.485384615386,48988.84769230769,50118.2,22.13153846153846,37.0,21.295384615384616,36.0,evac-only_sorted_2026shelterseek_5_37_trajectory.csv
5,38,7000.0,1584.0,0.22628571428571428,1835.886994949495,1722.0,2867.7,5732.0,96.0,47103.98863636364,48939.87563131313,49994.7,19.955176767676768,31.0,19.02462121212121,30.0,evac-only_sorted_2026shelterseek_5_38_trajectory.csv
5,39,7000.0,2136.0,0.30514285714285716,1757.1643258426966,1628.0,2790.5,4008.0,71.0,47138.62593632959,48895.79026217228,50037.0,19.159644194756556,27.0,18.193352059925093,26.0,evac-only_sorted_2026shelterseek_5_39_trajectory.csv
6,0,7000.0,1974.0,0.282,1859.806990881459,1901.5,2762.7,3912.0,54.0,47147.61043566363,49007.417426545086,50123.4,17.728976697061803,33.0,17.02228976697062,32.0,evac-only_sorted_2026shelterseek_6_0_trajectory.csv
6,1,7000.0,1338.0,0.19114285714285714,1651.7249626307923,1498.5,2738.3,4290.0,79.0,47086.530642750375,48738.255605381164,49981.2,20.266816143497756,32.0,19.318385650224215,31.0,evac-only_sorted_2026shelterseek_6_1_trajectory.csv
6,2,7000.0,1788.0,0.25542857142857145,1950.847874720358,2009.0,2929.3,3543.0,133.0,47102.67561521253,49053.523489932886,50120.0,17.404921700223714,31.0,16.58724832214765,30.0,evac-only_sorted_2026shelterseek_6_2_trajectory.csv
6,3,7000.0,1168.0,0.16685714285714287,1709.714897260274,1543.5,2863.8999999999996,4806.0,66.0,47115.977739726026,48825.6926369863,50042.3,22.915239726027398,49.0,22.07705479452055,48.0,evac-only_sorted_2026shelterseek_6_3_trajectory.csv
6,4,7000.0,1776.0,0.2537142857142857,1584.8361486486488,1406.0,2553.0,4481.0,102.0,47098.69031531532,48683.526463963964,49775.0,18.445945945945947,42.0,17.528153153153152,41.0,evac-only_sorted_2026shelterseek_6_4_trajectory.csv
6,5,7000.0,915.0,0.13071428571428573,1708.6087431693988,1564.0,2591.0,5310.0,56.0,47131.9956284153,48840.6043715847,49975.0,28.654644808743168,38.0,27.82185792349727,37.0,evac-only_sorted_2026shelterseek_6_5_trajectory.csv
6,6,7000.0,1076.0,0.15371428571428572,1692.5557620817845,1560.5,2795.0,5430.0,103.0,47034.53066914498,48727.086431226766,50076.0,20.355018587360593,39.0,19.45353159851301,38.0,evac-only_sorted_2026shelterseek_6_6_trajectory.csv
6,7,7000.0,1081.0,0.15442857142857142,1483.8149861239592,1294.0,2507.0,4801.0,87.0,46997.63274745606,48481.44773358002,49550.0,18.848288621646624,27.0,17.969472710453285,26.0,evac-only_sorted_2026shelterseek_6_7_trajectory.csv
6,8,7000.0,1345.0,0.19214285714285714,1541.153159851301,1448.0,2314.2000000000003,3579.0,56.0,47045.259479553904,48586.41263940521,49589.2,18.466914498141264,30.0,17.594795539033456,29.0,evac-only_sorted_2026shelterseek_6_8_trajectory.csv
6,9,7000.0,1178.0,0.1682857142857143,1709.5551782682512,1647.0,2693.7999999999997,5769.0,58.0,47038.79456706282,48748.34974533107,49863.8,22.225806451612904,47.0,21.395585738539896,46.0,evac-only_sorted_2026shelterseek_6_9_trajectory.csv
6,10,7000.0,2222.0,0.31742857142857145,1941.6656165616562,1941.5,2799.9,4558.0,122.0,47084.98874887489,49026.654365436545,50139.9,21.32718271827183,37.0,20.41089108910891,36.0,evac-only_sorted_2026shelterseek_6_10_trajectory.csv
6,11,7000.0,1411.0,0.20157142857142857,1787.206236711552,1825.0,2732.0,3500.0,41.0,47147.65627214741,48934.86250885897,50073.0,18.30545712260808,31.0,17.465627214741318,30.0,evac-only_sorted_2026shelterseek_6_11_trajectory.csv
6,12,7000.0,1076.0,0.15371428571428572,1717.9237918215613,1628.0,2920.5,5421.0,129.0,47029.942379182154,48747.86617100372,49984.0,22.117100371747213,46.0,21.12732342007435,45.0,evac-only_sorted_2026shelterseek_6_12_trajectory.csv
6,13,7000.0,861.0,0.123,1956.2450638792102,2071.0,2994.0,5779.0,99.0,47049.53542392567,49005.78048780488,50174.0,22.472706155632984,42.0,21.790940766550523,41.0,evac-only_sorted_2026shelterseek_6_13_trajectory.csv
6,14,7000.0,1623.0,0.23185714285714284,1752.8810844115835,1588.0,2866.0,3782.0,60.0,47078.323475046214,48831.204559457794,50109.8,17.514479359211336,22.0,16.72581638940234,22.0,evac-only_sorted_2026shelterseek_6_14_trajectory.csv
6,15,7000.0,707.0,0.101,1874.947666195191,1870.0,2862.7999999999997,5084.0,104.0,47047.732673267325,48922.68033946252,50143.4,25.01838755304102,42.0,24.502121640735503,41.0,evac-only_sorted_2026shelterseek_6_15_trajectory.csv
6,16,7000.0,1645.0,0.235,1790.6024316109422,1715.0,2760.6000000000004,3968.0,46.0,47076.11732522796,48866.71975683891,50089.8,21.972036474164135,34.0,21.213981762917932,33.0,evac-only_sorted_2026shelterseek_6_16_trajectory.csv
6,17,7000.0,909.0,0.12985714285714287,1592.4785478547856,1451.0,2631.8,4080.0,77.0,47047.21782178218,48639.696369636964,49879.8,22.06050605060506,32.0,21.178217821782177,31.0,evac-only_sorted_2026shelterseek_6_17_trajectory.csv
6,18,7000.0,1542.0,0.22028571428571428,1921.0667963683527,1915.5,2848.0,5175.0,60.0,47083.767833981845,49004.8346303502,50172.7,17.832036316472113,27.0,16.920233463035018,26.0,evac-only_sorted_2026shelterseek_6_18_trajectory.csv
6,19,7000.0,1771.0,0.253,1880.1609260304913,1877.0,2877.0,4423.0,115.0,47123.34500282326,49003.50592885375,50161.0,21.42066629023151,34.0,20.635234330886504,33.0,evac-only_sorted_2026shelterseek_6_19_trajectory.csv
6,20,7000.0,1166.0,0.16657142857142856,1838.2770154373927,1761.5,2990.5,4070.0,61.0,47051.235849056604,48889.512864494,50130.5,17.299313893653515,32.5,16.623499142367066,32.0,evac-only_sorted_2026shelterseek_6_20_trajectory.csv
6,21,7000.0,1351.0,0.193,1557.7772020725388,1432.0,2647.0,6278.0,110.0,47081.06883789785,48638.84603997039,49996.0,24.357512953367877,32.0,23.531458179126574,31.0,evac-only_sorted_2026shelterseek_6_21_trajectory.csv
6,22,7000.0,1365.0,0.195,1973.7567765567765,1929.0,2910.6000000000004,3604.0,63.0,47095.069597069596,49068.826373626376,50156.2,18.318681318681318,32.0,17.526007326007328,32.0,evac-only_sorted_2026shelterseek_6_22_trajectory.csv
6,23,7000.0,1578.0,0.22542857142857142,1743.3510773130545,1657.0,2711.2999999999993,5275.0,85.0,47117.4917617237,48860.842839036755,49943.2,21.85297845373891,35.0,20.919518377693283,34.0,evac-only_sorted_2026shelterseek_6_23_trajectory.csv
